Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
"One  Box  Containing
a  Wrist  Watch
Philipe  Vendour  with
pair  of  Studs  ,  bal
pen and Wallet ,",Watch,"Syed  Imran  Ali,  Air
Crew",,2010-01-21,40000.0,4500.0,Yes,Yes
"One  Box  Containing
a  Wrist  Watch
Philipe  Vendour  with",Watch,"Mr.  Muhammad
Tanveer, Air Crew `",,2010-01-21,40000.0,4500.0,Yes,Yes
"One  Box  containing
a  Wrist  Watch
Philipe  Vendour  with
pair  of  Studs,  ball
pen and Wallet",Watch,"Wg.  Cdr.  Adan  Rishi
Pak/10646 GD (P)",Military,2010-01-21,40000.0,4500.0,Yes,Yes
One Bowl (Silver),,"Minister  of  State  for
Foreign  Affairs,
Nawabzada  Malik
Amad Khan",,2010-02-12,0.0,0.0,Auctioned,"Auctioned for
Rs.21,200/-"
"One  wrist  watch
Rolex  (dateJust
Steel  &  Gold  Model
No.116233)",Watch,"Mr.  Salman  Siddique,
Finance Secretary",Bureaucracy,2010-02-19,0.0,0.0,Auctioned,"Auctioned for
Rs.501,000/-"
"One  Ceramic  Vase/
Decoration Piece",Decoration Pieces,"Mr.  Shaukat  Fayaz
Ahmed  Tarin  Minister
for  Finance,  Economic
Affairs and Statistics,",,2010-02-21,0.0,0.0,Yes,Yes
"a. Three  Wall
Hangings,
b. A Book",,"Mr.  Shaukat  Fayaz
Ahmed  Tarin  Minister
for  Finance,  Economic
Affairs and Statistics,",,2010-02-21,14000.0,0.0,Yes,Yes
"One  wrist  watch
Rolex  (with
guarantee  card)
(Oyster  Perpetual
Sr.  No.V876927)
(Ref116243)",Watch,"Mr.  Shaukat  Fayaz
Ahmad  Tarin,  Minister
for  Finance,  Revenue,
Economic  Affairs  and
Statistics",,2010-02-24,0.0,0.0,Auctioned,"Auctioned for
Rs.741,000/-"
One Decoration Bowl,Decoration Pieces,"Mr.  Sajjad  Kamran,
Director  General
(Afghanistan),
Foreign Affairs",,2010-03-22,8000.0,0.0,Yes,Yes
One Carpet,Carpet,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-03-31,40000.0,4500.0,Yes,Yes
One Carpet,Carpet,"Syed  Yousaf  Raza
Gillani,  Prime  Minister",PPP,2010-04-01,22000.0,1800.0,Yes,Yes
"Wrist  Watch
Hamilton",Watch,"Mr. Zia-ur-Rehman,
Secretary  Ministry  of
Food and Agriculture",Bureaucracy,2010-04-01,110000.0,15000.0,Yes,Yes
Decoration Box,Decoration Pieces,"Mr.  Farhat  Iqbal,
Protocol  Officer  (V-I),
Foreign Affairs",,2010-04-05,5500.0,0.0,Yes,Yes
Decoration Box,Decoration Pieces,"Mr.  Saeed  Akhtar,
Protocol  Officer
(Addl), Foreign Affairs",,2010-04-05,4000.0,0.0,Yes,Yes
One Decoration Bowl,Decoration Pieces,"Syed  Ahsan  Raza,
Deputy  Chief  of
Protocol,  (DCP),
Foreign Affairs",Military,2010-04-05,7000.0,0.0,Yes,Yes
"a. One  wrist  watch,
gent’s,
b. One  wrist  watch
ladies.
c. Pair of Cufflinks
d. Lady’s Ring
e. Pair of Ear Ring
f. One Bracelet
g. One pen",Watch,"Minister  for  Water  &
Power,  Raja  Pervez
Ashraf",PPP,2010-04-12,224800.0,32190.0,Yes,Yes
One Plate,,"Syed  Ahsan  Raza
Shah, Deputy Chief of
Protocol, DCP, Foreign
Affairs",Military,2010-04-19,6000.0,0.0,Yes,Yes
"One  Small
Decoration Plate",Decoration Pieces,"Mr.  Muhammad
Farhat  Iqbal,  Protocol
Officer,  Foreign
Affairs",,2010-04-19,1500.0,0.0,Yes,Yes
"One  Flower  Vase
(Glass)",Decoration Pieces,"Gp.  Capt.  Waqar
Ahmad,  Deputy
Military  Secretary  to",Bureaucracy,2010-04-21,8000.0,0.0,Yes,Yes
One Jar with Lid,,"Mr.  Imran  Mehmood,
Chief  Security  Officer
to  Prime  Minister
(CSO to PM)",,2010-04-21,12000.0,300.0,Yes,Yes
One plate (Porcelain),,"Mr.  Nazar  Gondal,
Minister  for  Food  &
Agriculture",,2010-05-03,10000.0,0.0,Yes,Yes
"One  Wrist  Watch
with  pen,  Tie  &
Cufflinks  (Van  der
Bauwede)",Watch,"Shahid  Saleem  Khan
Sr.  Reporter,
Associated  Press  of
Pakistan, APP",Media,2010-05-04,40000.0,4500.0,Yes,Yes
"One  Wrist  Watch
Axcent",Watch,"Mr.  Shafiq  Qureshi
Reporter APP",Media,2010-05-04,8000.0,0.0,Yes,Yes
One Ceramic Tea Set,Crockery,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,4000.0,0.0,Yes,Yes
"One  Souvenir
(Crystal)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"Four  Photographs  of
President  with  Mr.  &
Mrs.  G.W.  Bush,
President of USA",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
One Candle (Marble),,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,1500.0,0.0,Yes,Yes
One Compass,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,4500.0,0.0,Yes,Yes
"One  Wooden  Box
with Picture of White
House",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"One  Crystal
Decoration piece",Decoration Pieces,"Mr.  Asif  Ali Zardari,
President of Pakistan",PPP,2010-05-11,3500.0,0.0,Yes,Yes
"One  Glass  Made
Flower Vase",Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,6500.0,0.0,Yes,Yes
"One  Crystal  World
Globe on Stand",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,6000.0,0.0,Yes,Yes
"a. One  Wooden
Book  of",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"a. One shield,
b. One Scenery",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,1500.0,0.0,Yes,Yes
"One  Metal
Decoration Bowl",Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,1000.0,0.0,Yes,Yes
One Ceramic Vase,Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,2500.0,0.0,Yes,Yes
"One  Picture  of  China
Three  Gorges  Dam
on Cloth",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"a. One  Framed
Shield  “Canadian
Forces”
b. One  book  titled
“Canada”",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
One Steel Plate,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,800.0,0.0,Yes,Yes
One Metal Tray,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,1200.0,0.0,Yes,Yes
One Pen Mont Blank,Pen,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,50000.0,6000.0,Yes,Yes
"One  small  Box
Containing  4
decorated  Wood
Bars &
One Book",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"One  small
Decoration piece",Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,2000.0,0.0,Yes,Yes
One Model,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
One Brass Bowl,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,2000.0,0.0,Yes,Yes
One Model of Ship,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"One  Box  containing
2  Books  titled  “The
Art  of  War”  (English
&  Chinese
Language)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"One  Small  Box  (Pair
of Cufflinks)",,"Mr.  Asif  Ali Zardari,
President of Pakistan",PPP,2010-05-11,800.0,0.0,Yes,Yes
One Model of Buggi,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
One Photo Album,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"One  Frame
Containing Picture of
Vase",Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"One  Ceramic  Vase
(White)",Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,2500.0,0.0,Yes,Yes
One Photo Album,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
One Tie Case,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,1500.0,0.0,Yes,Yes
One Photo Album,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"One  Book  Title”
Chronicle  of
Malaysia”,  One
pumpkin  Fruit
Trinket  Box  &  One
Pending  (Buckle)
Framed",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"Two  photograph  of
the  President  with
the  President  of
Turkey, Afghanistan",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"Six  books  titled”
Benazir  Bhutto
Reconciliation”",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"Two books
One  Book  titled“
Muslim  History  &
Civilization”",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"One  Box  containing
Acron Piece",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"One  Ceramic  Vase
(Red)",Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,2000.0,0.0,Yes,Yes
"One  Wooden  Box
containing  Cigars
(24 pcs)",Cigar/Cigarettes,"Mr. Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,24000.0,2100.0,Yes,Yes
"One  Souvenir
(Golden  Plate  with
Picture  of  Three
Gorges Dam)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"One Two  Side
Picture of Panda",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,1500.0,0.0,Yes,Yes
One Album,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"One  book  titled
“Govt  Art  Collection”
and  two  pens
(Parker)",Pen,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,10000.0,0.0,Yes,Yes
One Steel Box,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,1500.0,0.0,Yes,Yes
"Wrist  Watch  with
pen,  Tie  &  Cufflinks
(Van der Bauwede)",Watch,"Mr.  Javed  Akhtar,
Controller News, PBC",Media,2010-05-11,40000.0,4500.0,Yes,Yes
"Five  books,  two
magazine  &  two
Registration  Forms
of  Delhi  Sustainable
Development
Summit 2009",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,0.0,0.0,Yes,Yes
"One  Sword  with
Stand",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-05-11,4000.0,0.0,Yes,Yes
"One  Souvenir  (gold
plated)",,"Mr. Muhammad Ahsan
Raja,  Additional
Secretary,  Ministry  of
Interior",Bureaucracy,2010-06-30,20000.0,1500.0,Yes,Yes
"One  Decoration
Jewelry Box",Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,6000.0,0.0,Yes,Yes
"One  Wooden  Box
containing Tea Mats",Crockery,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,2000.0,0.0,Yes,Yes
One Shield Brass,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,3000.0,0.0,Yes,Yes
"One  Diary,  one
Phone  Index  and
one Notepad",Phone,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
"a. One
Decorated Jar
b. one Decorated
Tray",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,9000.0,0.0,Yes,Yes
"One  Decorated
Wooden Box",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,1500.0,0.0,Yes,Yes
"One  Flowered
Picture on Cloth",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,5500.0,0.0,Yes,Yes
"One  Picture  on
Marble Slabs",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,2500.0,0.0,Yes,Yes
"One  Marble
Decorated Jar",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,4500.0,0.0,Yes,Yes
One (small) Carpet,Carpet,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,15000.0,750.0,Yes,Yes
One Shield (Glass),,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
"One  Wall  Hanging
Calendar 2010",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
"One  Award  for
Mohtarma  Benazir
Bhutto",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
"a. Two books
b. Two  Ceramic
Vases",Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,8000.0,0.0,Yes,Yes
One Album,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
Two Qur’an Pak,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
Two Souvenirs,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
"One  Wooden
Decorated  Box
containing  Project
Design  of  Shaheeda
Benazir  Bhutto
Auditorium,
Damascus",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,5500.0,0.0,Yes,Yes
"One  Silver  Fruit
Basket",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,70000.0,9000.0,Yes,Yes
"One  Tumbler  Glass
Made",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,2000.0,0.0,Yes,Yes
One Framed Picture,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,6500.0,0.0,Yes,Yes
One Ceramic Vase,Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,2500.0,0.0,Yes,Yes
One Ceramic Vase,Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,2500.0,0.0,Yes,Yes
One Ceramic Vase,Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,6000.0,0.0,Yes,Yes
"One China Intangible
Cultural Souvenir",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
"One  Wooden  Menu
Card",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
"One  Scenery  on
Cloth",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,9000.0,0.0,Yes,Yes
One Menu of Dinner,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
One Metal plate,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,5000.0,0.0,Yes,Yes
One Ceramic Plate,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,3500.0,0.0,Yes,Yes
Two Shirts,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,2000.0,0.0,Yes,Yes
"Onex  4”  Souvenir
“JICA”",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
"One  Ceramic  Table
Watch",Watch,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,2500.0,0.0,Yes,Yes
Three Books & 4 CDs,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
"One  Ceramic  box
(small)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,1200.0,0.0,Yes,Yes
"One Book Titled “The
Occupation of Iraq”",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
One Book “Brussels”,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
Two Sceneries,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,9000.0,0.0,Yes,Yes
"One  Frame  JINSHA
(The  Sun  &  Godly
Bird)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,6000.0,0.0,Yes,Yes
One model,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
"One  Book  “Treasure
Houses”",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
"One  Remington
Statue",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,8500.0,0.0,Yes,Yes
One Ceramic Vase,Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,3000.0,0.0,Yes,Yes
"One  Cigar  Box
(Green)",Cigar/Cigarettes,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,10000.0,0.0,Yes,Yes
One Book,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,0.0,0.0,Yes,Yes
"One  Table  Clock
(Golden)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,7500.0,0.0,Yes,Yes
One Carpet,Carpet,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-07-22,17000.0,1050.0,Yes,Yes
"a. Wrist  Watch
Esteema
b. One  Bracelet  in
Gold & Diamond",Watch,"Mr. Nazar Muhammad
Gondal  Minister  for
Food,  Agriculture  &
livestock",,2010-08-11,0.0,24300.0,Yes,Yes
"a. One  wrist  watch,
gent’s,
b. One  wrist  watch
ladies
c. Lady’s Ring
d. Pair of Ear Ring
e. One Bracelet
f. Pair of studs
g. One pen",Watch,"Mr.  Jahangir  Badar
PPP Senator",,2010-08-20,291500.0,0.0,Yes,Yes
"One  carpet
(Handmade)",Carpet,"Mr.  Nazar  Mohammad
Gondal,  Minister  for
Food and Agriculture",,2010-09-17,9000.0,0.0,Yes,Yes
One bowl,,"Mr.  Ghalib  Iqbal,
Chief  of  Protocol,
Foreign Affairs",Military,2010-10-01,8500.0,0.0,Yes,Yes
"One
Calligraphy/Painting
(Wooden Frame)",,"Mr.  Mian  Muhammad
Shehbaz  Sharif,  Chief
Minister, CM Punjab",PMLN,2010-10-06,40000.0,0.0,Auctioned,"Auctioned for
Rs.40,750/-"
One Bowl (Silver),,"Mr.  Ghalib  Iqbal,
Chief  of  Protocol
Foreign Affairs,",Military,2010-10-18,30000.0,3000.0,Yes,Yes
"One  Packet
containing  Table
Cloths,  Two  Metal
Surahi,  Two
perfumes,  one
necklace,  one",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2010-11-11,80800.0,10620.0,Yes,Yes
"Wrist  Watch  with
pen, Tie & Cufflinks
(Van der Bauwede)",Watch,"Mr. Musaddiq Kaleem,
News  Reporter,  PTV
News",Media,2010-11-22,40000.0,4500.0,Yes,Yes
"One Metal  Show
Piece  (PUTER)
(Depicting  Elephant
on it)",,"Mr.  Sibtain  Fazal
Halim,  Secretary,
Economic  Affairs
Division (EAD)",Bureaucracy,2010-11-23,8500.0,0.0,Auctioned,"Auctioned for
Rs.9,540/-"
"One  piece  of  Art
Work duly framed",,"Brig.  Nasir  Dilawar
Shah,  Military
Secretary  to  Prime
Minister (MS to PM)",Military,2010-11-30,500.0,0.0,Yes,Yes
"One  Digital  Camera
AIGO  (W120)  with
accessories (i.e. 2GB
Memory  Card,
Charger,  battery
camera  Cover  and
data cables etc)",,"Dr.  Abdul  Hafeez
Sheikh,  Minister  for
Finance,  Revenue,
Economic Affairs  and
Statistics",,2010-12-02,14000.0,0.0,Auctioned,"Auctioned for
Rs.15,015/-"
"One  Tea  Set  (Bone
China  Coffee  Set
(Feather  of  a
Peacock))",Crockery,Chairman Senate,,2010-12-23,8000.0,0.0,Yes,Yes
"Two  Tea  Pots
(Caparison,
Elephants  with  Tea)
(small)",Crockery,"Mr.  Afrasiab,  Director
General  (South  Asia)
Foreign Affairs",,2010-12-24,1000.0,0.0,Auctioned,"Auctioned for
Rs.2,510/-"
"One  Wrist  Watch
Hamilton  H324150
Swissmade Chain",Watch,"Mr.  Rauf  Klasra,
Editor",,2010-12-28,0.0,0.0,"Gift deposited in
Toshakhana","Gift deposited in
Toshakhana"
"Wrist  Watch  Van  der
Bauwede  with  pen,
Tie & Cufflinks",Watch,"Mr.  Salahuddin  Malik,
Chief  Cameraman,
PTV",Media,2010-12-29,40000.0,4500.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Foreign  Secretary  of
Pakistan",Bureaucracy,2011-01-04,9000.0,0.0,Yes,Yes
One Decoration Tray,Decoration Pieces,"Ch.  Ahmad  Mukhtar,
Federal  Minister  for
Defence",,2011-01-04,25000.0,2250.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Mr.  M  Shabbir  Anwar,
Press  Secretary  to  the
Prime Minister",Bureaucracy,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Brig Nasir  Dilawar  Shah,
Military  Secretary  to  the
Prime Minister ",Military,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Brig  Raja  Samiullah,
Personal  Physician  to  the
Prime Minister",Military,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Lt.  Col.  Naveed  Malik,
Director  Security  to  the
Prime Minister",Military,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Maj Faisal Nawaz, ADC to
the Prime Minister,",Military,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Inspector Farooq Ahmed,
Police  Gunman  to  Prime
Minister",,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"ASI  Fakhar  Maqbool,
Police  Gunman  to  Prime
Minister",,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"H/Constable  M.  Ishaq,
Police  Gunman  to  Prime
Minister",,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"H/Constable  M.  Yameen
Khan,  Police  Gunman  to
Prime Minister",,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"H/Constable  M.  Riaz,
Police  Gunman  to  Prime
Minister",,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Constable  Hamad  Raza,
Police  Gunman  to  Prime
Minister",,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Constable  Salahuddin,
Police  Gunman  to  Prime
Minister",,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Constable  M.  Saghir,
Police  Gunman  to  Prime
Minister",,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Constable  Faqir  Shah,
Police  Gunman  to  Prime
Minister",,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"NK  Nasir  Mehmood,  SSG
Gunman  to  Prime
Minister",,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Sep.  Irfan-ul  Haq,  SSG
Gunman  to  Prime
Minister",,2011-01-08,9000.0,0.0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Sep.  Shahid  Ibrar,  SSG,
Gunman  to  Prime
Minister",,2011-01-08,9000.0,0.0,Yes,Yes
"Wrist  Watch  Van  der
Bauwede with pen, Tie &
Cufflinks",Watch,"Mr.  Abdul  Ghaffar,  TV
Engineer",Media,2011-01-08,0.0,0.0,Yes,Yes
"a. One Dinner Set
b. One  Photograph
(duly framed)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan.",PPP,2011-01-21,0.0,0.0,Yes,Yes
"One  Book  “Terrorism
and National Security”",,"Mr.  Asif  Ali  Zardari,
President of Pakistan.",PPP,2011-01-21,0.0,0.0,Yes,Yes
a. One Kettle,,"Mr.  Asif  Ali  Zardari,",PPP,2011-01-21,16500.0,975.0,Amount,Amount
"One  Model  of  Elephant
(small)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2011-01-21,7000.0,0.0,Yes,Yes
"One  Model  of  Elephant
(Medium)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2011-01-21,10000.0,0.0,Yes,Yes
One Silver Tray,,"Mr.  Salman  Faruqui,
Secretary  General  to  the
President",Bureaucracy,2011-01-21,9000.0,0.0,Yes,Yes
Two Small Elephants,,"Mr.  Farhatullah  Baber,
Spokesman  to  the
President",,2011-01-21,800.0,0.0,Yes,Yes
One Decoration Piece,Decoration Pieces,"Brig.  Syed  M.  Adnan,
Military  Secretary  to  the
President  (MS  to  the
President)",Military,2011-01-21,2500.0,0.0,Yes,Yes
One Decoration Tray,Decoration Pieces,Mr. Owais Muzafar,,2011-01-21,1200.0,0.0,Yes,Yes
One Silver Tray,,"Mr.  Farukh  Akhtar  Jamil,
Additional  Secretary,
Foreign Affairs",Bureaucracy,2011-01-21,13500.0,525.0,Yes,Yes
One Cup containing Tea,Crockery,"Dr.  Asim  Hussain,
Personal  Physician  to  the
President",,2011-01-21,2500.0,0.0,Yes,Yes
One Cup containing Tea,Crockery,"Brig.  M.  Iftikhar
Mansoor,  Director
General",Military,2011-01-21,2500.0,0.0,Yes,Yes
"Three  Tins  containing
Tea",Crockery,"Capt.  (PN)  Amir  Saeed,
Deputy Military Secretary
to the President
(DMS to the President)",Bureaucracy,2011-01-21,3000.0,0.0,Yes,Yes
One Cup Containing Tea,Crockery,"Sq.  Ldr.  Malik  Jalal
Farooq,  ADC  to  the
President",Military,2011-01-21,2500.0,0.0,Yes,Yes
One Cup Containing Tea,Crockery,"Lt.  Col.  Baber  Mumtaz,
Chief  Security  Officer  to",Military,2011-01-21,2500.0,0.0,Yes,Yes
"a. One Shield,
b. One Fountain Pen,
c. Box  containing  Two
coins  (i.e.  one  Gold
coin  in  22kt  +  One
Silver Coin)
d. Three  books  &  one
Letter Pad,
e. One Carpet (small),
f. One Shield (Tapi Gas
Pipe Line)",Carpet,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,2011-01-21,10000.0,22687.0,Yes,Yes
